name,age,constituency,vote_percent,status
전진숙,22,광주 북구을,72.11%,당선
박균택,22,광주 광산구갑,81.70%,당선
민형배,22,광주 광산구을,76.09%,당선
배준영,22,인천 중구강화군옹진군,54.99%,당선
허종식,22,인천 동구미추홀구갑,53.73%,당선
윤상현,22,인천 동구미추홀구을,50.44%,당선
박찬대,22,인천 연수구갑,52.44%,당선
정일영,22,인천 연수구을,51.50%,당선
맹성규,22,인천 남동구갑,56.96%,당선
이훈기,22,인천 남동구을,54.48%,당선
노종면,22,인천 부평구갑,55.19%,당선
박선원,22,인천 부평구을,51.36%,당선
유동수,22,인천 계양구갑,58.29%,당선
이재명,22,인천 계양구을,54.12%,당선
김교흥,22,인천 서구갑,57.59%,당선
이용우,22,인천 서구을,56.53%,당선
모경종,22,인천 서구병,57.52%,당선
김기웅,22,대구 중구남구,57.91%,당선
최은석,22,대구 동구군위군갑,74.48%,당선
강대식,22,대구 동구군위군을,76.13%,당선
김상훈,22,대구 서구,72.02%,당선
우재준,22,대구 북구갑,71.37%,당선
김승수,22,대구 북구을,67.86%,당선
주호영,22,대구 수성구갑,65.63%,당선
이인선,22,대구 수성구을,72.84%,당선
유영하,22,대구 달서구갑,71.39%,당선
윤재옥,22,대구 달서구을,72.47%,당선
권영진,22,대구 달서구병,67.08%,당선
추경호,22,대구 달성군,75.31%,당선
조승환,22,부산 중구영도구,54.82%,당선
곽규택,22,부산 서구동구,57.95%,당선
정성국,22,부산 부산진구갑,52.78%,당선
이헌승,22,부산 부산진구을,53.71%,당선
서지영,22,부산 동래구,54.26%,당선
박수영,22,부산 남구,54.40%,당선
전재수,22,부산 북구갑,52.31%,당선
박성훈,22,부산 북구을,52.56%,당선
주진우,22,부산 해운대구갑,53.70%,당선
김미애,22,부산 해운대구을,58.33%,당선
이성권,22,부산 사하구갑,50.39%,당선
조경태,22,부산 사하구을,55.62%,당선
백종헌,22,부산 금정구,56.62%,당선
김도읍,22,부산 강서구,55.58%,당선
김희정,22,부산 연제구,54.41%,당선
정연욱,22,부산 수영구,50.33%,당선
김대식,22,부산 사상구,52.63%,당선
정동만,22,부산 기장군,52.33%,당선
곽상언,22,서울 종로구,50.92%,당선
전현희,22,서울 중구성동구갑,52.61%,당선
박성준,22,서울 중구성동구을,50.81%,당선
권영세,22,서울 용산구,51.77%,당선
이정헌,22,서울 광진구갑,52.53%,당선
고민정,22,서울 광진구을,51.47%,당선
안규백,22,서울 동대문구갑,52.89%,당선
장경태,22,서울 동대문구을,54.62%,당선
서영교,22,서울 중랑구갑,61.92%,당선
박홍근,22,서울 중랑구을,57.72%,당선
김영배,22,서울 성북구갑,55.68%,당선
김남근,22,서울 성북구을,56.82%,당선
천준호,22,서울 강북구갑,57.23%,당선
한민수,22,서울 강북구을,52.94%,당선
김재섭,22,서울 도봉구갑,49.05%,당선
오기형,22,서울 도봉구을,52.83%,당선
우원식,22,서울 노원구갑,58.99%,당선
김성환,22,서울 노원구을,58.51%,당선
박주민,22,서울 은평구갑,60.78%,당선
김우영,22,서울 은평구을,56.95%,당선
김동아,22,서울 서대문구갑,50.75%,당선
김영호,22,서울 서대문구을,57.62%,당선
조정훈,22,서울 마포구갑,48.30%,당선
정청래,22,서울 마포구을,52.44%,당선
황희,22,서울 양천구갑,49.78%,당선
이용선,22,서울 양천구을,57.47%,당선
강선우,22,서울 강서구갑,58.55%,당선
진성준,22,서울 강서구을,54.84%,당선
한정애,22,서울 강서구병,59.13%,당선
이인영,22,서울 구로구갑,55.74%,당선
윤건영,22,서울 구로구을,59.86%,당선
최기상,22,서울 금천구,59.03%,당선
채현일,22,서울 영등포구갑,54.53%,당선
김민석,22,서울 영등포구을,50.18%,당선
김병기,22,서울 동작구갑,50.49%,당선
나경원,22,서울 동작구을,54.01%,당선
박민규,22,서울 관악구갑,57.08%,당선
정태호,22,서울 관악구을,57.97%,당선
조은희,22,서울 서초구갑,68.44%,당선
신동욱,22,서울 서초구을,57.49%,당선
서명옥,22,서울 강남구갑,64.18%,당선
박수민,22,서울 강남구을,58.57%,당선
고동진,22,서울 강남구병,66.28%,당선
박정훈,22,서울 송파구갑,52.24%,당선
배현진,22,서울 송파구을,57.20%,당선
남인순,22,서울 송파구병,51.04%,당선
진선미,22,서울 강동구갑,50.12%,당선
이해식,22,서울 강동구을,53.55%,당선
김재원,20,경북 상주시군위군의성군청송군(재보궐),47.52%,당선
김성환,20,서울 노원구병(재보궐),56.43%,당선
최재성,20,서울 송파구을(재보궐),54.41%,당선
윤준호,20,부산 해운대구을(재보궐),50.15%,당선
맹성규,20,인천 남동구갑(재보궐),61.62%,당선
송갑석,20,광주 서구갑(재보궐),83.46%,당선
이상헌,20,울산 북구(재보궐),48.47%,당선
이후삼,20,충북 제천시단양군(재보궐),47.74%,당선
이규희,20,충남 천안시갑(재보궐),57.78%,당선
윤일규,20,충남 천안시병(재보궐),62.17%,당선
서삼석,20,전남 영암군무안군신안군(재보궐),67.96%,당선
송언석,20,경북 김천시(재보궐),50.31%,당선
김정호,20,경남 김해시을(재보궐),63.01%,당선
여영국,20,경남 창원시성산구(재보궐),45.75%,당선
정점식,20,경남 통영시고성군(재보궐),59.47%,당선
최재형,21,서울 종로구(재보궐),52.09%,당선
조은희,21,서울 서초구갑(재보궐),72.72%,당선
임병헌,21,대구 중구남구(재보궐),22.39%,당선
김학용,21,경기 안성시(재보궐),54.18%,당선
정우택,21,충북 청주시상당구(재보궐),56.92%,당선
이인선,21,대구 수성구을(재보궐),79.78%,당선
이재명,21,인천 계양구을(재보궐),55.24%,당선
안철수,21,경기 성남시분당구갑(재보궐),62.50%,당선
박정하,21,강원 원주시갑(재보궐),57.79%,당선
장동혁,21,충남 보령시서천군(재보궐),51.01%,당선
김영선,21,경남 창원시의창구(재보궐),62.74%,당선
김한규,21,제주 제주시을(재보궐),49.41%,당선
강성희,21,전북 전주시을(재보궐),39.07%,당선
